기준년월,제주 대분류,제주 중분류,업종명,성별,연령대별,year,month,카드이용금액
2016-04-01,제주시,노형동,스포츠레져용품,여,30대,2016,4,2159374.288240714
2016-04-01,제주시,노형동,정장(여성),여,40대,2016,4,6212765.414636991
2016-04-01,제주시,노형동,스포츠레져용품,남,40대,2016,4,3171973.395267308
2016-04-01,서귀포시,대륜동,농축수산품,여,50대,2016,4,20195178.917502988
2016-04-01,서귀포시,대륜동,농축수산품,남,50대,2016,4,21841964.078301687
2016-04-01,제주시,노형동,스포츠레져용품,여,40대,2016,4,2286256.5824786075
2016-04-01,제주시,이도2동,스포츠레져용품,남,50대,2016,4,2296015.9060031935
2016-04-01,제주시,연동,정장(여성),남,50대,2016,4,3114663.4136727853
2016-04-01,제주시,노형동,스포츠레져용품,남,30대,2016,4,2662711.5459972615
2016-04-01,제주시,연동,농축수산품,남,50대,2016,4,7401045.186012176
2016-04-01,서귀포시,예래동,스포츠레져용품,여,40대,2016,4,963605.0192296895
2016-04-01,서귀포시,대륜동,농축수산품,여,40대,2016,4,8470605.748558545
2016-04-01,제주시,이도2동,스포츠레져용품,남,30대,2016,4,1947788.0459795555
2016-04-01,제주시,연동,스포츠레져용품,여,50대,2016,4,8096283.784668705
2016-04-01,제주시,연동,스포츠레져용품,여,40대,2016,4,9293860.006906142
2016-04-01,제주시,연동,농축수산품,남,20대,2016,4,1130628.666214139
2016-04-01,제주시,노형동,스포츠레져용품,여,50대,2016,4,1802467.3574337112
2016-04-01,서귀포시,예래동,스포츠레져용품,여,50대,2016,4,1241506.9193183233
2016-04-01,제주시,삼도2동,스포츠레져용품,남,40대,2016,4,3812831.794976563
2016-04-01,제주시,노형동,정장(여성),여,30대,2016,4,5538517.684243123
2016-04-01,서귀포시,대륜동,농축수산품,남,30대,2016,4,7740644.819666683
2016-04-01,제주시,삼도2동,스포츠레져용품,여,50대,2016,4,2266254.4846747844
2016-04-01,제주시,연동,정장(여성),남,30대,2016,4,4234554.238874929
2016-04-01,서귀포시,대륜동,농축수산품,남,40대,2016,4,10979031.632319305
2016-04-01,제주시,연동,스포츠레져용품,여,30대,2016,4,11782878.646488251
2016-04-01,제주시,연동,스포츠레져용품,남,50대,2016,4,11452588.833546884
2016-04-01,제주시,연동,정장(여성),여,40대,2016,4,5064780.039464162
2016-04-01,제주시,연동,농축수산품,여,40대,2016,4,3370572.6903091767
2016-04-01,제주시,연동,스포츠레져용품,남,40대,2016,4,13358557.720537195
2016-04-01,제주시,삼도2동,스포츠레져용품,남,50대,2016,4,3584255.3773876876
2016-04-01,제주시,연동,농축수산품,남,40대,2016,4,5815215.753334752
2016-04-01,제주시,노형동,기념품점,남,50대,2016,4,1283730.5022317467
2016-04-01,제주시,노형동,기념품점,여,30대,2016,4,2861598.317155296
2016-04-01,서귀포시,예래동,농축수산품,남,20대,2016,4,1255420.697386871
2016-04-01,제주시,연동,농축수산품,여,50대,2016,4,3843115.0171090057
